Customer_ID,Age,Gender,Tenure_Months,Monthly_Charges,Total_Charges,Contract_Type,Payment_Method,Internet_Service,Customer_Support_Calls,Churn
10087,40,Male,42,4753.88,174890.54,Quarterly,Net Banking,Fiber,8,Yes
10088,57,Male,65,4626.85,24845.13,Yearly,Debit Card,DSL,1,No
10089,38,Male,60,3125.42,90766.77,Monthly,Net Banking,DSL,4,No
10090,33,Female,42,2581.75,182264.9,Monthly,UPI,None,10,Yes
10091,62,Male,24,4182.35,163045.9,Yearly,Debit Card,DSL,1,Yes
10092,35,Female,19,3574.97,104413.91,Monthly,Credit Card,None,0,No
10093,64,Male,47,1326.04,154542.72,Monthly,Debit Card,DSL,6,Yes
10094,41,Male,23,4194.14,105016.06,Monthly,Net Banking,DSL,3,No
10095,43,Female,10,2429.98,32460.38,Monthly,Net Banking,Fiber,4,No
10096,42,Female,54,1350.44,25822.49,Monthly,Credit Card,DSL,3,No
10097,62,Female,27,1768.09,38485.28,Monthly,Net Banking,Fiber,5,Yes
10098,58,Female,68,1703.87,70833.5,Quarterly,Debit Card,DSL,10,No
10099,46,Female,62,2836.43,186175.32,Monthly,Net Banking,DSL,1,Yes
10100,32,Female,58,1554.67,160136.0,Quarterly,Debit Card,DSL,7,No
10101,62,Female,4,1056.05,87127.51,Monthly,Debit Card,Fiber,3,Yes
10102,18,Female,50,1056.61,99122.27,Yearly,Net Banking,None,7,No
10103,42,Male,20,3124.74,53856.28,Yearly,Credit Card,Fiber,2,No
10104,24,Female,11,3806.42,141166.24,Quarterly,UPI,DSL,11,No
10105,26,Female,49,1946.9,160750.37,Yearly,Credit Card,None,11,No
10106,41,Male,3,655.93,48542.03,Quarterly,UPI,DSL,10,No
10107,18,Female,41,1072.51,9322.5,Yearly,Credit Card,Fiber,4,No
10108,61,Male,37,4616.13,125153.9,Monthly,Debit Card,Fiber,11,No
10109,25,Male,24,2720.95,112939.91,Monthly,Debit Card,None,2,No
10110,41,Female,13,2541.08,81024.1,Quarterly,Net Banking,Fiber,11,No
10111,28,Male,31,671.22,129134.89,Monthly,UPI,DSL,14,Yes
10112,68,Female,10,3778.87,110572.05,Quarterly,UPI,None,12,Yes
10113,34,Male,60,2876.31,50865.73,Yearly,Net Banking,DSL,6,No
10114,25,Male,17,1409.36,80148.07,Monthly,Credit Card,None,14,No
10115,52,Male,26,995.33,86194.6,Quarterly,Net Banking,None,2,Yes
10116,52,Female,54,2225.25,176169.35,Monthly,Credit Card,DSL,14,No
10117,50,Female,53,4267.23,192219.93,Monthly,Net Banking,Fiber,11,No
10118,22,Male,20,4393.83,178707.27,Monthly,UPI,DSL,7,Yes
10119,59,Male,43,3212.81,144116.43,Monthly,UPI,Fiber,8,Yes
10120,56,Female,4,3773.91,117413.55,Monthly,Credit Card,Fiber,12,No
10121,58,Female,40,1018.2,138163.07,Monthly,UPI,DSL,11,No
10122,45,Male,58,3146.57,187882.73,Monthly,UPI,None,1,Yes
10123,24,Male,53,3501.35,50749.75,Quarterly,UPI,DSL,2,No
10124,26,Female,21,1403.21,107488.98,Quarterly,UPI,None,11,No
10125,25,Female,64,4460.7,138232.0,Monthly,Debit Card,Fiber,12,No
10126,29,Female,63,1377.49,136170.15,Monthly,Net Banking,None,6,Yes
10127,51,Female,70,1910.65,51203.51,Yearly,Net Banking,DSL,4,No
10128,50,Female,3,3292.51,117759.57,Quarterly,Debit Card,None,9,No
10129,65,Male,64,3372.58,159386.72,Monthly,UPI,Fiber,6,No
10130,40,Female,14,3647.23,95540.72,Monthly,Net Banking,Fiber,1,No
10131,41,Male,21,1004.05,158866.32,Quarterly,Net Banking,None,13,No
10132,54,Female,46,4322.59,72616.64,Quarterly,Net Banking,Fiber,13,No
10133,52,Male,45,2897.81,187813.27,Monthly,Credit Card,Fiber,3,No
10134,61,Female,13,2620.95,107251.76,Monthly,Debit Card,None,0,No
10135,57,Female,49,4914.94,119593.64,Monthly,Credit Card,Fiber,14,No
10136,39,Male,19,3831.7,7240.95,Quarterly,Credit Card,None,4,No
10137,44,Male,49,1031.03,34883.56,Monthly,Debit Card,None,7,No
10138,52,Female,32,3904.43,126953.84,Monthly,Net Banking,Fiber,0,No
10139,18,Female,58,928.62,84554.2,Monthly,Credit Card,None,6,Yes
10140,52,Female,42,623.62,102124.59,Yearly,Net Banking,Fiber,6,Yes
10141,54,Female,11,2316.32,13531.31,Quarterly,Credit Card,Fiber,6,No
10142,64,Female,39,4971.1,166992.91,Quarterly,Net Banking,Fiber,14,No
10143,31,Male,19,1286.98,157116.61,Quarterly,UPI,DSL,0,Yes
10144,20,Male,37,3526.9,37885.44,Monthly,UPI,Fiber,11,No
10145,18,Female,2,1280.28,127231.54,Yearly,UPI,None,10,Yes
10146,22,Male,27,3761.54,163844.73,Monthly,Debit Card,None,2,No
10147,43,Male,55,2774.09,128529.97,Quarterly,UPI,None,10,Yes
10148,31,Male,12,3559.87,62769.22,Monthly,Credit Card,DSL,1,No
10149,56,Female,65,1412.93,131566.12,Monthly,Net Banking,DSL,14,No
10150,44,Male,36,3855.33,42881.89,Monthly,Net Banking,None,14,No
10151,26,Female,48,4980.29,64332.74,Quarterly,Net Banking,None,4,Yes
10152,32,Male,65,3495.43,48773.86,Quarterly,Net Banking,DSL,1,No
10153,32,Female,35,2720.66,111828.1,Monthly,Credit Card,None,12,No
10154,43,Male,53,4654.28,22537.1,Monthly,Net Banking,Fiber,13,No
10155,59,Female,25,571.33,186728.77,Yearly,Credit Card,Fiber,4,No
10156,30,Female,71,3784.66,67368.96,Monthly,Credit Card,None,4,No
10157,68,Male,39,4499.36,44575.06,Quarterly,Net Banking,Fiber,3,Yes
10158,49,Female,42,777.54,99813.41,Quarterly,Net Banking,None,10,Yes
10159,56,Female,21,2525.29,56122.57,Monthly,Net Banking,DSL,6,No
10160,66,Female,19,1421.24,107445.91,Monthly,Credit Card,None,9,No
10161,69,Female,7,3049.33,70353.32,Monthly,Debit Card,DSL,5,No
10162,49,Female,28,3422.94,27281.3,Monthly,Credit Card,Fiber,1,No
10163,21,Female,39,1861.8,53913.15,Monthly,Debit Card,Fiber,14,No
10164,47,Female,29,2569.92,88249.53,Monthly,Net Banking,Fiber,3,Yes
10165,54,Female,54,1757.03,7028.35,Monthly,Credit Card,None,12,No
10166,40,Male,15,2162.26,154357.86,Quarterly,Net Banking,DSL,13,No
10167,56,Male,45,1217.93,124743.09,Quarterly,Debit Card,DSL,10,No
10168,62,Female,61,4485.02,120670.56,Monthly,Debit Card,Fiber,6,No
10169,32,Female,6,545.05,109663.94,Monthly,Credit Card,Fiber,8,Yes
10170,60,Male,44,4470.84,118472.32,Monthly,Credit Card,DSL,8,Yes
10171,46,Male,58,3072.55,186995.74,Monthly,Credit Card,None,11,No
10172,53,Male,55,1992.46,2705.27,Quarterly,Credit Card,Fiber,2,No
10173,30,Female,47,3753.76,10512.14,Monthly,UPI,None,0,No
10174,49,Male,26,2784.88,39107.19,Quarterly,UPI,Fiber,8,No
10175,24,Female,52,2745.99,34292.97,Monthly,Net Banking,Fiber,7,No
10176,68,Female,34,995.64,37057.7,Quarterly,Debit Card,None,6,No
10177,39,Male,50,2252.82,134716.83,Monthly,Debit Card,None,5,No
10178,45,Female,36,1584.79,92437.18,Quarterly,Net Banking,None,13,No
10179,19,Female,56,570.63,198364.0,Yearly,Net Banking,None,14,No
10180,59,Female,7,2120.45,46150.3,Quarterly,Net Banking,DSL,9,No
10181,62,Female,19,904.2,62855.19,Quarterly,UPI,DSL,6,No
10182,23,Male,52,1655.74,196863.9,Monthly,Net Banking,Fiber,10,No
10183,45,Male,11,916.32,166519.87,Yearly,Debit Card,Fiber,8,No
10184,45,Female,48,954.24,94490.04,Monthly,Net Banking,Fiber,5,Yes
10185,61,Female,16,1395.55,111364.78,Monthly,Credit Card,DSL,14,No
10186,61,Male,63,4999.32,168792.41,Monthly,Debit Card,None,13,No
10187,37,Female,41,509.83,96715.07,Yearly,Debit Card,Fiber,13,No
10188,47,Male,28,3374.03,41998.72,Yearly,Debit Card,DSL,9,Yes
10189,28,Female,18,1135.6,165860.46,Yearly,UPI,Fiber,2,No
10190,45,Female,10,4642.83,108016.73,Quarterly,UPI,DSL,12,No
10191,42,Male,49,921.35,31455.48,Monthly,Debit Card,None,13,No
10192,56,Male,70,4797.78,101611.58,Yearly,Credit Card,DSL,2,No
10193,50,Male,57,3249.17,83227.47,Yearly,Debit Card,None,3,No
10194,18,Male,33,505.71,175491.66,Monthly,UPI,Fiber,9,No
10195,44,Female,19,4523.03,26085.03,Monthly,Credit Card,None,12,Yes
10196,69,Male,49,2847.7,175166.75,Quarterly,Debit Card,DSL,13,No
10197,30,Female,9,1682.01,102929.99,Yearly,UPI,Fiber,14,No
10198,58,Male,31,3952.76,81468.52,Yearly,Credit Card,Fiber,13,No
10199,20,Male,51,4669.99,33231.47,Yearly,Net Banking,DSL,9,No
10200,56,Female,14,2676.61,140462.77,Yearly,Net Banking,None,7,No
10201,23,Male,2,1919.99,185434.54,Yearly,Debit Card,DSL,9,No
10202,25,Male,36,4050.25,75700.09,Quarterly,Net Banking,None,8,No
10203,44,Male,39,3568.03,49075.42,Quarterly,UPI,None,13,No
10204,26,Male,71,4499.39,111418.52,Monthly,Credit Card,Fiber,7,No
10205,54,Female,39,3616.31,159441.0,Quarterly,Debit Card,None,10,Yes
10206,50,Female,55,1595.88,1749.77,Monthly,Credit Card,Fiber,9,No
10207,68,Male,22,4692.47,126644.11,Yearly,Credit Card,DSL,1,No
10208,59,Male,10,971.76,119706.68,Monthly,Credit Card,DSL,3,No
10209,61,Male,63,1705.74,64312.28,Monthly,UPI,Fiber,3,No
10210,41,Female,7,2840.88,90833.18,Monthly,Debit Card,Fiber,11,Yes
10211,32,Female,55,3045.84,50145.68,Quarterly,Net Banking,None,1,No
10212,49,Female,59,568.9,158187.26,Monthly,Credit Card,Fiber,12,No
10213,49,Female,9,4012.58,127272.45,Monthly,Credit Card,DSL,7,Yes
10214,41,Male,38,2127.23,107009.61,Monthly,Credit Card,Fiber,2,No
10215,58,Male,27,2328.88,79112.71,Monthly,UPI,Fiber,1,Yes
10216,69,Male,48,4142.16,58985.49,Monthly,Net Banking,Fiber,6,No
10217,66,Female,35,2206.78,164724.56,Monthly,Credit Card,None,14,Yes
10218,66,Male,12,712.51,90830.13,Monthly,UPI,Fiber,0,Yes
10219,69,Female,35,1293.98,100788.04,Monthly,UPI,None,14,Yes
10220,29,Female,25,4801.56,104644.92,Monthly,Credit Card,None,5,No
10221,56,Male,3,816.82,90225.02,Monthly,Credit Card,Fiber,12,No
10222,19,Male,63,2097.19,51961.6,Yearly,UPI,None,12,Yes
10223,20,Male,37,2764.31,24947.75,Monthly,UPI,Fiber,2,No
10224,66,Female,21,2719.76,20608.92,Monthly,Credit Card,DSL,12,Yes
10225,54,Female,1,517.82,151735.04,Monthly,UPI,DSL,2,Yes
10226,66,Male,30,2755.23,45482.04,Monthly,UPI,None,14,No
10227,34,Male,10,2226.98,12078.89,Monthly,Credit Card,DSL,4,Yes
10228,66,Female,45,4874.36,159705.96,Monthly,Credit Card,Fiber,13,No
10229,19,Male,61,1216.22,31658.27,Quarterly,Debit Card,None,2,No
10230,19,Female,68,2093.69,125404.07,Quarterly,Net Banking,Fiber,11,Yes
10231,45,Female,63,2387.67,68390.01,Monthly,Credit Card,None,3,No
10232,40,Male,9,2258.12,26169.57,Quarterly,Credit Card,None,12,No
10233,54,Male,39,3496.24,83481.71,Monthly,Credit Card,None,12,No
10234,49,Male,23,1469.81,3946.96,Yearly,Net Banking,None,14,Yes
10235,50,Male,43,1494.82,168367.95,Monthly,Debit Card,DSL,2,No
10236,18,Female,59,3781.45,103186.09,Quarterly,UPI,DSL,6,No
10237,36,Female,61,2751.31,28692.84,Monthly,Net Banking,DSL,2,Yes
10238,19,Female,16,2368.2,48159.08,Yearly,Credit Card,None,13,No
10239,61,Male,64,1261.41,90147.06,Monthly,Credit Card,DSL,9,Yes
10240,43,Female,56,1343.87,38585.01,Monthly,Debit Card,None,3,No
10241,49,Male,54,547.48,54451.23,Quarterly,Debit Card,DSL,1,No
10242,23,Male,52,911.42,107342.73,Monthly,Debit Card,None,1,Yes
10243,49,Male,55,3005.77,166689.19,Quarterly,UPI,DSL,8,Yes
10244,21,Male,8,4513.43,80966.1,Quarterly,Net Banking,DSL,10,No
10245,28,Male,21,1792.24,143678.08,Monthly,Net Banking,DSL,0,No
10246,34,Male,12,1974.86,175460.16,Monthly,Debit Card,None,0,No
10247,55,Female,47,1020.23,44043.89,Monthly,UPI,None,9,No
10248,41,Male,17,2248.84,161631.2,Quarterly,Net Banking,DSL,0,Yes
10249,22,Female,39,667.5,151723.04,Monthly,Credit Card,None,13,No
10250,69,Female,16,4629.2,72030.52,Monthly,Credit Card,Fiber,2,Yes
10251,51,Male,14,3529.0,197914.47,Yearly,Credit Card,DSL,1,No
10252,23,Male,14,4958.37,53251.9,Monthly,Net Banking,DSL,2,No
10253,39,Male,62,4472.7,51705.85,Yearly,Debit Card,Fiber,13,Yes
10254,28,Female,38,2628.46,154679.57,Quarterly,Credit Card,None,4,Yes
10255,65,Male,12,2838.58,87496.81,Monthly,Debit Card,None,8,Yes
10256,33,Female,31,1357.59,66828.2,Monthly,UPI,None,1,Yes
10257,50,Male,8,2579.18,36553.9,Quarterly,Credit Card,DSL,11,No
10258,26,Male,39,4563.63,153301.15,Monthly,UPI,DSL,10,No
10259,23,Female,19,728.84,157478.04,Monthly,Debit Card,DSL,14,No
10260,33,Female,62,4386.01,113746.24,Monthly,Net Banking,DSL,13,No
10261,46,Male,43,2034.27,191505.41,Quarterly,Debit Card,DSL,0,No
10262,20,Female,37,4547.81,64314.49,Quarterly,Credit Card,None,10,No
10263,37,Female,59,4733.96,44704.19,Monthly,Credit Card,Fiber,5,Yes
10264,53,Female,70,3518.89,135815.89,Monthly,Debit Card,None,2,Yes
10265,36,Female,47,3489.91,151923.32,Quarterly,Credit Card,None,12,No
10266,43,Female,17,2537.39,45756.29,Yearly,Credit Card,DSL,6,No
10267,20,Male,15,4259.93,16245.54,Monthly,UPI,Fiber,5,Yes
10268,36,Male,54,4827.26,162292.78,Monthly,Net Banking,Fiber,10,Yes
10269,37,Female,38,3987.87,195323.89,Yearly,Debit Card,None,6,No
10270,49,Male,67,3298.72,129289.78,Quarterly,UPI,Fiber,12,No
10271,24,Male,58,3230.57,56295.51,Quarterly,Credit Card,None,12,No
10272,69,Female,61,4322.61,199337.85,Yearly,UPI,None,4,Yes
10273,58,Male,12,2935.42,178760.06,Quarterly,Net Banking,None,0,No
10274,50,Female,5,4117.37,103162.75,Monthly,Debit Card,None,13,No
10275,57,Female,59,2789.98,165238.94,Quarterly,Net Banking,DSL,2,Yes
10276,56,Male,13,781.0,163348.28,Quarterly,Net Banking,Fiber,2,No
10277,35,Female,53,2227.76,187024.99,Yearly,UPI,DSL,6,Yes
10278,57,Female,3,2499.98,168343.84,Monthly,UPI,DSL,14,No
10279,18,Female,38,1137.28,129092.17,Monthly,Net Banking,DSL,13,No
10280,28,Female,71,961.23,122251.44,Quarterly,Credit Card,None,12,No
10281,45,Female,24,2909.59,94004.1,Monthly,Debit Card,None,2,No
10282,42,Male,31,883.15,125670.64,Monthly,Credit Card,DSL,10,Yes
10283,67,Male,58,1863.25,159248.1,Yearly,Credit Card,DSL,4,No
10284,40,Female,62,3850.69,193838.49,Monthly,Debit Card,Fiber,3,No
10285,48,Female,37,4839.94,93990.18,Quarterly,UPI,DSL,3,No
10286,47,Male,52,3730.42,115156.99,Yearly,Credit Card,None,12,Yes
10287,59,Female,66,4966.81,89516.29,Monthly,UPI,DSL,6,No
10288,52,Male,27,3642.52,134029.24,Yearly,Debit Card,Fiber,0,No
10289,24,Female,2,1822.08,126354.18,Quarterly,Credit Card,Fiber,6,No
10290,33,Female,21,3524.24,4548.92,Monthly,UPI,DSL,14,No
10291,43,Female,37,3659.71,108691.15,Monthly,UPI,Fiber,7,No
10292,65,Female,71,2172.77,18608.89,Yearly,Credit Card,Fiber,2,No
10293,69,Female,71,579.71,6250.34,Monthly,Debit Card,None,14,Yes
10294,66,Female,61,3664.4,158448.24,Monthly,Net Banking,Fiber,2,No
10295,19,Female,56,597.65,52471.32,Monthly,UPI,Fiber,3,No
10296,18,Male,5,3340.35,68790.36,Monthly,Debit Card,DSL,14,No
10297,65,Male,31,1236.27,13752.83,Monthly,Credit Card,None,12,No
10298,29,Male,9,3045.22,36720.55,Yearly,UPI,Fiber,5,No
10299,22,Female,2,2767.61,153355.36,Yearly,UPI,DSL,13,No
10300,54,Female,58,560.81,99212.64,Monthly,UPI,DSL,6,No
10301,49,Female,48,2132.9,176253.02,Monthly,Debit Card,DSL,0,Yes
10302,26,Female,58,3204.91,80051.18,Quarterly,UPI,DSL,14,No
10303,58,Female,30,4318.73,54471.45,Monthly,UPI,DSL,12,No
10304,52,Female,68,4498.89,70172.36,Quarterly,Credit Card,DSL,3,No
10305,36,Female,61,2677.32,142841.59,Yearly,UPI,Fiber,11,No
10306,65,Male,51,3777.9,111446.13,Yearly,Debit Card,None,6,No
10307,33,Female,40,1924.05,180934.05,Monthly,Credit Card,None,10,No
10308,20,Male,30,2039.84,120831.59,Monthly,Net Banking,DSL,1,No
10309,37,Male,21,1375.09,99110.62,Monthly,Credit Card,DSL,0,No
10310,41,Female,3,3028.77,157364.79,Monthly,UPI,None,0,No
10311,50,Female,12,1915.54,189559.24,Monthly,Net Banking,Fiber,9,No
10312,41,Male,44,879.67,71813.34,Yearly,Credit Card,DSL,13,Yes
10313,69,Male,41,3582.53,50725.37,Yearly,UPI,None,13,No
10314,28,Female,48,3684.89,123627.26,Yearly,Credit Card,None,5,No
10315,66,Female,19,2119.97,100275.69,Yearly,Debit Card,DSL,11,Yes
10316,25,Male,53,845.26,197847.93,Monthly,UPI,None,4,Yes
10317,53,Female,35,2418.34,93010.0,Quarterly,Debit Card,Fiber,0,Yes
10318,55,Female,0,2490.51,15791.98,Monthly,UPI,None,9,No
10319,57,Female,14,3509.02,195496.44,Monthly,Debit Card,DSL,2,No
10320,37,Male,16,1919.37,168873.8,Monthly,Net Banking,DSL,14,Yes
10321,52,Male,23,3571.7,36471.78,Quarterly,Debit Card,None,10,No
10322,65,Male,57,4421.7,181016.45,Quarterly,Credit Card,None,6,Yes
10323,42,Female,71,1568.69,68792.7,Monthly,UPI,DSL,11,Yes
10324,52,Female,22,4905.14,76045.28,Monthly,Credit Card,Fiber,8,No
10325,42,Male,45,2238.66,181371.9,Monthly,Debit Card,None,12,No
10326,46,Male,71,1702.66,106493.0,Monthly,UPI,Fiber,8,No
10327,35,Male,7,2396.8,28414.82,Monthly,Debit Card,Fiber,14,No
10328,63,Female,58,924.79,74442.18,Quarterly,Net Banking,DSL,5,No
10329,35,Male,58,1065.68,144697.39,Quarterly,Net Banking,DSL,2,No
10330,19,Male,12,2364.95,35662.65,Monthly,Net Banking,DSL,0,No
10331,52,Female,38,3931.0,118456.01,Quarterly,Debit Card,Fiber,2,No
10332,33,Female,27,4551.41,139359.55,Monthly,Debit Card,DSL,9,No
10333,58,Female,60,3491.68,69426.86,Yearly,Net Banking,DSL,1,No
10334,53,Male,15,973.49,139082.26,Monthly,Debit Card,Fiber,10,No
10335,50,Female,1,3524.09,176957.26,Quarterly,Credit Card,Fiber,4,No
10336,21,Female,16,3359.43,94951.23,Yearly,Debit Card,Fiber,7,No
10337,50,Male,29,4125.94,77198.96,Yearly,Credit Card,Fiber,4,Yes
10338,31,Female,12,4213.62,50980.52,Monthly,Net Banking,None,0,No
10339,38,Male,12,4406.91,121236.89,Quarterly,Debit Card,DSL,2,No
10340,65,Male,42,2363.59,176090.56,Monthly,Net Banking,None,11,Yes
10341,37,Female,20,3640.39,65607.59,Monthly,UPI,Fiber,4,No
10342,25,Female,54,1707.13,79850.87,Monthly,Debit Card,Fiber,6,No
10343,24,Female,39,4997.01,81918.48,Yearly,Debit Card,Fiber,4,Yes
10344,20,Female,14,1289.0,112601.66,Yearly,Net Banking,Fiber,13,No
10345,34,Female,51,545.51,46453.38,Monthly,Net Banking,Fiber,9,No
10346,50,Female,52,1169.64,164620.02,Monthly,Net Banking,DSL,4,No
10347,65,Male,51,3991.43,59824.85,Yearly,UPI,None,6,No
10348,29,Male,29,2510.53,141367.18,Monthly,UPI,None,12,No
10349,68,Female,32,2513.75,103129.93,Monthly,Net Banking,DSL,14,No
10350,39,Male,56,4797.6,117593.62,Monthly,Debit Card,DSL,7,No
10351,39,Female,51,4638.36,36742.14,Quarterly,Debit Card,DSL,13,No
10352,63,Male,8,1900.38,147269.62,Monthly,Net Banking,None,7,No
10353,47,Male,53,1440.76,38535.48,Quarterly,Credit Card,None,6,Yes
10354,55,Male,0,4318.17,23581.25,Monthly,UPI,Fiber,12,No
10355,55,Female,43,4577.09,109789.22,Monthly,UPI,None,13,Yes
10356,62,Male,8,2937.19,142150.13,Monthly,Credit Card,None,2,Yes
10357,68,Female,31,3332.41,10957.13,Monthly,Net Banking,DSL,10,Yes
